date,open,high,low,close,volume
2026-02-23,15.0,15.0,15.0,15.0,0.0
2026-02-24,15.0,15.0,15.0,15.0,0.0
2026-02-25,15.0,15.0,15.0,15.0,0.0
2026-02-26,15.0,15.0,15.0,15.0,0.0
2026-02-27,15.0,15.0,15.0,15.0,0.0
2026-03-02,15.0,15.0,15.0,15.0,0.0
2026-03-03,15.0,15.0,15.0,15.0,0.0
2026-03-04,15.0,15.0,15.0,15.0,0.0
2026-03-05,15.0,15.0,15.0,15.0,0.0
2026-03-06,15.0,15.0,15.0,15.0,0.0
2026-03-09,15.0,15.0,15.0,15.0,0.0
2026-03-10,15.0,15.0,15.0,15.0,0.0
2026-03-11,15.0,15.0,15.0,15.0,0.0
2026-03-12,15.0,15.0,15.0,15.0,0.0
2026-03-13,15.0,15.0,15.0,15.0,0.0
2026-03-16,15.0,15.0,15.0,15.0,0.0
2026-03-17,15.0,15.0,15.0,15.0,0.0
2026-03-18,15.0,15.0,15.0,15.0,0.0
2026-03-19,15.0,15.0,15.0,15.0,0.0
2026-03-20,15.0,15.0,15.0,15.0,0.0
2026-03-23,15.0,15.0,15.0,15.0,0.0
2026-03-24,15.0,15.0,15.0,15.0,0.0
2026-03-25,15.0,15.0,15.0,15.0,0.0
2026-03-26,15.0,15.0,15.0,15.0,0.0
2026-03-27,15.0,15.0,15.0,15.0,0.0
2026-03-30,15.0,15.0,15.0,15.0,0.0
2026-03-31,15.0,15.0,15.0,15.0,0.0
2026-04-01,15.0,15.0,15.0,15.0,0.0
2026-04-02,15.0,15.0,15.0,15.0,0.0
2026-04-03,15.0,15.0,15.0,15.0,0.0
2026-04-06,15.0,15.0,15.0,15.0,0.0
2026-04-07,15.0,15.0,15.0,15.0,0.0
2026-04-08,15.0,15.0,15.0,15.0,0.0
2026-04-09,15.0,15.0,15.0,15.0,0.0
2026-04-10,15.0,15.0,15.0,15.0,0.0
2026-04-13,15.0,15.0,15.0,15.0,0.0
2026-04-14,15.0,15.0,15.0,15.0,0.0
2026-04-15,15.0,15.0,15.0,15.0,0.0
2026-04-16,15.0,15.0,15.0,15.0,0.0
2026-04-17,15.0,15.0,15.0,15.0,0.0
2026-04-20,15.0,15.0,15.0,15.0,0.0
2026-04-21,15.0,15.0,15.0,15.0,0.0
2026-04-22,15.0,15.0,15.0,15.0,0.0
2026-04-23,15.0,15.0,15.0,15.0,0.0
2026-04-24,15.0,15.0,15.0,15.0,0.0
2026-04-28,15.0,15.0,15.0,15.0,0.0
2026-04-29,15.0,15.0,15.0,15.0,0.0
